152.43,2.008612,136
8.44,6.952519,666
227.12,37.607433,3876
573.26,50.453512,3003
448.93,29.50883,3003
1221.35,76.895921,8008
21684.01,310.516451,18564
2638.02,291.732467,23751
75333.95,611.559089,43758
131734.9,843.864627,75582
823642.58,1001.334883,125970
345961.43,919.487724,125970
1159935.31,1399.713337,184756
858852.9,1549.85915,203490
4893045.2,2394.271718,293930
2051491.99,2367.391627,319770
4870956.84,3277.07279,490314
15018527.09,4242.044337,646646
25970030.08,4382.789415,646646
25328000,7606.5,1081575
39409000,9302.8,1144066
52503000,10137.2,1562275
